,,Course Title,Term,"Deeper
 under- standing
 of the subject
 matter.","Interest in the
 subject matter
 was stimulated.","Effective use of
 instructional
 technology.",Activities in course supported my learning.,Effort needed to succeed is reasonable.,"Grading
 standards
 were clear.","I would
 recommend
 this course.",# Resp
BIOL,2960H,Exploring Research in Biol Sci,Spr 2024,5.33,4.50,5.33,5.00,5.67,5.67,4.00,7
BIOL,2960H,Exploring Research in Biol Sci,Fall 2024,4.43,4.29,4.55,4.43,5.52,5.10,4.89,21
BIOL,2960H,Exploring Research in Biol Sci,Spr 2025,5.00,4.60,5.00,4.80,5.40,5.60,5.00,5
BIOL,3005W,Plant Function Laboratory,Spr 2021,5.00,4.84,5.08,5.08,4.96,4.82,4.92,52
BIOL,3005W,Plant Function Laboratory,Spr 2022,5.18,4.74,4.98,4.94,5.15,5.23,4.88,67
BIOL,3005W,Plant Function Laboratory,Spr 2023,5.21,4.75,4.68,5.01,4.10,4.66,4.74,107
BIOL,3005W,Plant Function Laboratory,Spr 2025,5.00,4.82,4.55,4.91,5.00,4.64,4.55,12
BIOL,3007W,"Plant, Algal, Fungal Diversity",Fall 2020,4.98,4.44,4.86,4.66,4.75,4.38,4.47,46
BIOL,3007W,"Plant, Algal, Fungal Diversity",Fall 2021,5.05,4.52,4.88,4.59,4.45,4.44,4.51,133
BIOL,3007W,"Plant, Algal, Fungal Diversity",Fall 2022,5.21,4.99,5.07,4.99,4.49,4.63,4.74,90
BIOL,3007W,"Plant, Algal, Fungal Diversity",Fall 2023,5.38,4.96,5.28,5.26,4.76,4.94,4.86,50
BIOL,3007W,"Plant, Algal, Fungal Diversity",Fall 2024,5.53,5.23,5.24,5.03,5.03,4.97,4.97,30
BIOL,3272H,Applied Biostatistics,Spr 2021,5.80,5.80,5.40,5.60,5.60,5.20,5.60,5
BIOL,3272H,Applied Biostatistics,Spr 2022,5.67,5.50,5.83,5.50,4.83,5.67,5.67,6
BIOL,3272H,Applied Biostatistics,Fall 2022,6.00,6.00,5.00,5.00,6.00,6.00,6.00,1
BIOL,3272H,Applied Biostatistics,Fall 2023,5.00,4.00,5.00,5.00,3.00,5.00,4.00,1
BIOL,3272H,Applied Biostatistics,Fall 2024,4.00,2.00,4.00,4.00,4.00,1.00,4.00,1
BIOL,3505W,Biology of Sex and Gender,Spr 2025,5.50,5.25,5.50,5.50,6.00,5.50,5.50,4
BIOL,3960H,Communicating in Biol Sci,Fall 2020,5.57,5.36,5.43,5.50,5.86,5.79,5.71,14
BIOL,3960H,Communicating in Biol Sci,Spr 2021,5.60,5.33,5.60,5.50,5.80,5.70,5.70,10
BIOL,3960H,Communicating in Biol Sci,Fall 2021,5.53,5.35,5.59,5.65,5.82,5.82,5.65,17
BIOL,3960H,Communicating in Biol Sci,Spr 2022,5.00,4.75,5.00,5.00,5.63,5.50,5.25,8
BIOL,3960H,Communicating in Biol Sci,Fall 2022,5.65,5.19,5.65,5.53,5.82,5.53,5.47,17
BIOL,3960H,Communicating in Biol Sci,Spr 2023,5.63,5.41,5.59,5.70,5.78,5.78,5.65,27
BIOL,3960H,Communicating in Biol Sci,Fall 2023,5.68,5.32,5.64,5.64,5.88,5.64,5.72,25
BIOL,3960H,Communicating in Biol Sci,Spr 2024,5.81,5.56,5.58,5.67,5.89,5.70,5.78,27
BIOL,3960H,Communicating in Biol Sci,Fall 2024,5.57,5.36,5.64,5.71,5.86,5.64,5.69,14
BIOL,3960H,Communicating in Biol Sci,Spr 2025,5.75,5.64,5.75,5.89,5.93,5.89,5.82,28
BIOL,4321W,Deconstructing Biology Rsearch,Spr 2021,5.00,5.00,5.43,5.14,5.57,5.57,5.57,7
BIOL,4321W,Deconstructing Biology Rsearch,Spr 2022,5.56,5.56,5.75,5.63,5.69,5.60,5.94,16
BIOL,4321W,Deconstructing Biology Rsearch,Spr 2023,5.53,5.41,5.50,5.18,5.71,5.47,5.65,17
BIOL,4321W,Deconstructing Biology Rsearch,Sum 2023,5.75,5.25,5.25,5.25,5.25,5.75,5.75,4
BIOL,4321W,Deconstructing Biology Rsearch,Spr 2024,5.57,5.57,5.86,5.57,5.71,5.43,5.86,14
BIOL,4321W,Deconstructing Biology Rsearch,Sum 2024,6.00,5.50,6.00,6.00,6.00,6.00,6.00,2
BIOL,4321W,Deconstructing Biology Rsearch,Spr 2025,6.00,5.93,6.00,6.00,6.00,6.00,6.00,14
BIOL,4960H,Biol Thesis: Lit Review,Fall 2020,4.80,4.17,4.63,4.52,4.59,3.96,4.36,27
BIOL,4960H,Biol Thesis: Lit Review,Fall 2021,4.58,4.17,4.47,4.16,3.95,4.32,3.56,20
BIOL,4960H,Biol Thesis: Lit Review,Fall 2022,4.50,4.15,4.82,4.47,5.35,4.94,4.50,17
BIOL,4960H,Biol Thesis: Lit Review,Fall 2023,4.79,4.07,5.00,5.00,5.38,5.50,4.73,16
BIOL,4960H,Biol Thesis: Lit Review,Fall 2024,4.38,4.15,4.88,4.47,5.41,5.59,4.71,17
BIOL,4961H,Biol Thesis: Conveying Results,Spr 2021,5.33,4.93,4.95,4.84,5.28,4.84,5.18,19
BIOL,4961H,Biol Thesis: Conveying Results,Spr 2022,5.69,5.43,5.25,5.40,4.81,4.81,5.31,16
BIOL,4961H,Biol Thesis: Conveying Results,Spr 2023,4.85,4.50,4.79,4.43,4.86,5.00,4.67,15
BIOL,4961H,Biol Thesis: Conveying Results,Spr 2024,5.13,4.64,5.19,4.71,5.06,5.18,5.00,17
BIOL,4961H,Biol Thesis: Conveying Results,Spr 2025,4.93,4.54,5.14,5.07,5.29,5.07,5.14,15
BLAW,3059,Real Estate Law,Fall 2020,5.87,5.40,5.47,5.60,5.53,5.53,5.73,15
BLAW,3059,Real Estate Law,Fall 2021,6.00,6.00,5.95,5.95,5.80,5.75,5.95,20
BLAW,3059,Real Estate Law,Spr 2022,5.71,5.57,5.71,5.57,5.57,5.71,5.71,7
BLAW,3059,Real Estate Law,Fall 2022,5.69,5.47,5.73,5.50,5.44,5.75,5.63,16
BLAW,3059,Real Estate Law,Spr 2023,5.85,5.54,5.69,5.58,5.62,5.69,5.67,13
BLAW,3059,Real Estate Law,Fall 2023,5.70,5.80,5.90,5.60,5.70,5.50,5.70,10
BLAW,3059,Real Estate Law,Spr 2024,5.74,5.47,5.74,5.68,5.37,5.63,5.53,19
BLAW,3059,Real Estate Law,Fall 2024,5.89,5.88,5.78,5.89,5.67,5.89,6.00,9
BLAW,3059,Real Estate Law,Spr 2025,5.83,5.78,5.67,5.65,5.44,5.56,5.72,19
BLAW,3061,Business Law Basics,Fall 2020,5.85,5.76,5.63,5.61,5.73,5.73,5.80,41
BLAW,3061,Business Law Basics,Spr 2021,5.96,5.80,5.88,5.83,5.76,5.84,5.88,25
BLAW,3061,Business Law Basics,Fall 2021,5.68,5.43,5.48,5.39,5.65,5.65,5.60,40
BLAW,3061,Business Law Basics,Spr 2022,5.82,5.75,5.73,5.84,5.73,5.48,5.73,33
BLAW,3061,Business Law Basics,Fall 2022,5.67,5.67,5.59,5.56,5.63,5.44,5.70,27
BLAW,3061,Business Law Basics,Spr 2023,5.90,5.87,5.63,5.86,5.80,5.70,5.90,30
BLAW,3061,Business Law Basics,Fall 2023,5.76,5.71,5.81,5.62,5.52,5.71,5.71,22
BLAW,3061,Business Law Basics,Spr 2024,5.89,5.89,5.76,5.88,5.78,5.89,5.94,18
BLAW,3061,Business Law Basics,Fall 2024,5.86,5.76,5.76,5.60,5.55,5.76,5.71,22
BLAW,3061,Business Law Basics,Spr 2025,5.30,5.00,5.40,5.40,5.20,5.20,5.60,10
BLAW,3062,Contract Law and Corporate Reg,Fall 2020,5.81,5.74,5.66,5.58,5.66,5.55,5.85,47
BLAW,3062,Contract Law and Corporate Reg,Spr 2021,5.79,5.64,5.64,5.55,5.47,5.52,5.64,75
BLAW,3062,Contract Law and Corporate Reg,Fall 2021,5.94,5.82,5.73,5.71,5.76,5.76,5.85,33
BLAW,3062,Contract Law and Corporate Reg,Spr 2022,5.66,5.49,5.63,5.54,5.37,5.41,5.54,41
BLAW,3062,Contract Law and Corporate Reg,Fall 2022,5.71,5.68,5.46,5.55,5.51,5.66,5.66,41
BLAW,3062,Contract Law and Corporate Reg,Spr 2023,5.62,5.62,5.47,5.55,5.67,5.59,5.53,34
BLAW,3062,Contract Law and Corporate Reg,Fall 2023,5.73,5.57,5.42,5.35,5.34,5.34,5.57,44
BLAW,3062,Contract Law and Corporate Reg,Spr 2024,5.93,5.93,5.76,5.90,5.79,5.79,5.90,29
BLAW,3062,Contract Law and Corporate Reg,Fall 2024,5.69,5.59,5.67,5.58,5.43,5.70,5.67,67
BLAW,3062,Contract Law and Corporate Reg,Spr 2025,5.65,5.69,5.62,5.63,5.50,5.65,5.65,26
BLAW,6158,American Business Law,Spr 2021,5.64,5.45,5.45,5.55,5.64,5.18,5.73,11
BLAW,6158,American Business Law,Spr 2022,6.00,5.91,5.91,5.91,6.00,5.91,6.00,11
BLAW,6158,American Business Law,Spr 2023,6.00,6.00,5.40,5.44,5.80,5.70,5.90,10
BLAW,6158,American Business Law,Spr 2024,6.00,6.00,6.00,6.00,6.00,6.00,6.00,9
BLAW,6158,American Business Law,Spr 2025,5.56,5.50,5.31,5.38,5.38,5.44,5.44,16
BMEN,1601,BME Undergrad Seminar I,Fall 2020,5.15,4.91,5.11,4.98,5.45,4.82,4.95,123
BMEN,1601,BME Undergrad Seminar I,Fall 2021,5.11,4.86,5.08,5.08,5.18,4.80,4.94,81
BMEN,1601,BME Undergrad Seminar I,Fall 2022,5.11,4.83,4.74,4.79,5.00,4.21,4.55,98
BMEN,1601,BME Undergrad Seminar I,Fall 2023,4.66,4.72,4.75,4.69,4.40,4.19,4.29,98
BMEN,1601,BME Undergrad Seminar I,Spr 2025,5.44,5.39,4.94,4.94,5.06,4.94,4.94,18
BMEN,1602,BME Undergrad Seminar II,Spr 2021,5.38,5.36,5.48,5.26,5.67,5.55,5.44,42
BMEN,1602,BME Undergrad Seminar II,Spr 2022,4.87,4.73,4.73,4.74,5.20,4.93,4.51,40
BMEN,1602,BME Undergrad Seminar II,Spr 2023,5.20,5.09,5.00,4.83,5.19,4.78,4.86,67
BMEN,1602,BME Undergrad Seminar II,Spr 2024,5.22,5.09,5.20,5.21,5.49,5.15,5.08,84
BMEN,2101,Biomed Thermodynamics/Kinetics,Spr 2021,3.89,3.47,3.92,3.47,3.08,3.32,3.19,38
BMEN,2101,Biomed Thermodynamics/Kinetics,Spr 2022,4.87,4.33,4.63,4.45,3.62,3.56,3.97,39
BMEN,2101,Biomed Thermodynamics/Kinetics,Spr 2023,5.10,4.80,5.11,4.40,4.40,4.30,4.25,11
BMEN,2101,Biomed Thermodynamics/Kinetics,Spr 2024,4.84,4.32,4.65,4.49,3.64,3.19,3.63,57
BMEN,2101,Biomed Thermodynamics/Kinetics,Spr 2025,4.64,4.15,4.35,4.35,4.06,3.85,3.96,47
BMEN,2151,Intro Med Device Prototyping,Spr 2021,5.35,5.35,5.53,5.65,5.71,5.29,5.71,17
BMEN,2151,Intro Med Device Prototyping,Spr 2022,5.67,5.67,5.47,5.73,5.80,5.47,5.73,15
BMEN,2151,Intro Med Device Prototyping,Spr 2024,5.92,5.92,5.77,5.85,5.92,5.69,5.85,13
BMEN,2151,Intro Med Device Prototyping,Spr 2025,5.07,5.36,4.71,4.93,5.07,5.07,5.14,14
BMEN,2401,Biomedical Programming,Fall 2020,5.62,5.65,5.60,5.58,5.28,5.42,5.65,43
BMEN,2401,Biomedical Programming,Fall 2021,5.31,4.95,5.26,5.12,4.60,4.88,5.07,46
BMEN,2401,Biomedical Programming,Fall 2022,5.16,4.75,4.97,4.75,3.94,4.75,4.81,33
BMEN,2401,Biomedical Programming,Fall 2023,4.68,4.00,4.65,4.26,3.26,4.91,3.85,34
BMEN,2401,Biomedical Programming,Fall 2024,4.72,3.87,4.10,4.13,3.57,4.94,3.48,32
BMEN,2501,Cell and Molecular Biology,Fall 2020,4.48,4.20,4.29,4.32,4.04,3.77,3.85,61
BMEN,2501,Cell and Molecular Biology,Fall 2021,5.03,4.75,4.66,4.80,4.55,4.10,4.42,71
BMEN,2501,Cell and Molecular Biology,Fall 2022,4.71,4.44,4.34,4.20,3.80,3.31,3.80,59
BMEN,2501,Cell and Molecular Biology,Fall 2023,4.73,4.58,4.42,4.29,4.10,3.48,3.81,51
BMEN,2501,Cell and Molecular Biology,Fall 2024,4.77,4.62,4.31,4.45,4.17,4.06,4.13,48
BMEN,3011,Biomechanics,Fall 2020,5.19,4.71,4.88,4.83,4.35,5.25,4.96,52
BMEN,3011,Biomechanics,Fall 2021,5.10,4.58,3.87,4.83,4.77,5.20,4.83,50
BMEN,3011,Biomechanics,Fall 2022,5.22,4.68,4.26,4.65,4.62,5.07,4.98,47
BMEN,3011,Biomechanics,Fall 2023,5.31,4.64,5.14,5.07,4.93,5.27,5.14,42
BMEN,3011,Biomechanics,Fall 2024,5.39,5.23,5.33,5.29,5.55,5.45,5.62,32
BMEN,3015,Biomech. Lab,Fall 2020,4.78,4.47,4.47,4.37,4.08,4.68,4.47,38
BMEN,3015,Biomech. Lab,Fall 2021,5.36,4.76,3.52,5.08,4.68,4.60,4.76,25
BMEN,3111,Biomed. Transpt. Proc.,Spr 2021,5.65,5.22,5.56,5.38,5.45,5.61,5.46,49
BMEN,3111,Biomed. Transpt. Proc.,Spr 2022,5.60,5.20,5.10,5.43,5.07,5.43,5.23,30
BMEN,3111,Biomed. Transpt. Proc.,Spr 2023,5.41,4.94,5.44,5.24,5.32,5.50,5.12,34
BMEN,3111,Biomed. Transpt. Proc.,Spr 2024,4.22,3.42,4.58,4.02,4.12,4.48,3.82,51
BMEN,3111,Biomed. Transpt. Proc.,Spr 2025,4.45,4.05,4.80,4.35,4.35,4.40,3.90,22
BMEN,3115,Biomed. Transpt. Proc. Lab,Spr 2023,5.33,5.33,5.33,5.00,5.33,5.67,5.67,3
BMEN,3115,Biomed. Transpt. Proc. Lab,Spr 2025,4.60,4.60,4.60,4.60,4.40,4.00,3.80,6
BMEN,3151,Medical Device Practicum,Fall 2020,5.63,5.88,5.63,5.50,5.50,5.38,5.75,8
BMEN,3151,Medical Device Practicum,Fall 2021,5.80,5.82,5.55,5.91,5.82,5.27,6.00,11
BMEN,3151,Medical Device Practicum,Fall 2022,5.67,5.78,5.67,5.67,5.44,5.33,5.67,9
BMEN,3211,Bioelec./Bioinstr.,Fall 2020,4.79,4.05,4.40,4.55,4.71,4.95,4.44,43
BMEN,3211,Bioelec./Bioinstr.,Fall 2021,4.83,4.29,3.76,4.71,4.48,4.35,4.48,44
BMEN,3211,Bioelec./Bioinstr.,Fall 2022,4.98,4.07,4.56,4.78,4.58,4.48,4.40,41
BMEN,3211,Bioelec./Bioinstr.,Fall 2023,5.13,4.22,4.59,4.79,4.49,4.08,4.37,39
BMEN,3211,Bioelec./Bioinstr.,Fall 2024,3.68,2.74,3.58,3.39,3.47,2.35,2.47,31
BMEN,3215,Bioelec./Bioinstr. Lab,Fall 2020,4.68,3.89,3.97,4.14,4.11,4.68,4.03,38
BMEN,3215,Bioelec./Bioinstr. Lab,Fall 2021,4.95,4.67,4.52,4.71,4.43,4.14,4.57,22
BMEN,3215,Bioelec./Bioinstr. Lab,Fall 2022,5.25,4.50,4.63,5.00,5.13,5.13,4.75,8
BMEN,3311,Biomaterials,Spr 2021,4.38,4.07,4.05,4.15,4.90,4.57,4.15,42
BMEN,3311,Biomaterials,Spr 2022,4.77,4.23,4.52,4.62,5.48,5.19,4.54,26
BMEN,3311,Biomaterials,Spr 2023,4.76,4.22,4.53,4.43,5.25,4.04,4.40,50
BMEN,3311,Biomaterials,Spr 2024,4.47,4.03,4.58,4.42,5.05,4.89,4.43,38
BMEN,3311,Biomaterials,Spr 2025,4.25,4.00,4.04,3.79,3.75,3.50,3.36,30
BMEN,3315,Biomaterials Lab,Spr 2023,4.50,4.25,4.63,4.50,4.50,3.50,4.25,8
BMEN,3315,Biomaterials Lab,Spr 2025,4.67,4.33,4.67,4.67,4.00,4.33,4.33,4
BMEN,3411,Biomedical Systems Analysis,Spr 2021,5.67,5.36,5.49,5.48,4.60,5.51,5.25,45
BMEN,3411,Biomedical Systems Analysis,Spr 2022,5.04,4.81,5.36,4.88,3.85,4.50,4.50,26
BMEN,3411,Biomedical Systems Analysis,Spr 2023,5.58,5.45,5.55,5.58,4.55,5.18,5.30,33
BMEN,3411,Biomedical Systems Analysis,Spr 2024,5.51,5.31,5.44,5.26,4.26,4.97,5.05,39
BMEN,3411,Biomedical Systems Analysis,Spr 2025,5.33,5.33,5.33,5.40,4.47,5.00,5.13,16
BMEN,3415,Systems Analysis Lab,Spr 2023,5.50,5.50,5.50,5.25,4.00,4.75,5.00,4
BMEN,3415,Systems Analysis Lab,Spr 2025,5.00,5.00,5.00,5.00,5.00,5.00,4.00,2
BMEN,3601,BME Careers and Practice,Fall 2020,5.10,5.00,5.10,5.10,5.30,4.90,5.10,10
BMEN,3601,BME Careers and Practice,Fall 2021,5.50,5.25,5.63,4.88,5.75,5.50,5.13,8
BMEN,3601,BME Careers and Practice,Fall 2022,4.25,3.88,4.14,3.86,5.00,4.63,4.63,8
BMEN,3601,BME Careers and Practice,Fall 2023,5.86,5.86,5.57,5.86,5.86,5.71,5.86,7
BMEN,3601,BME Careers and Practice,Fall 2024,5.83,5.83,5.50,5.50,6.00,5.17,5.83,6
BMEN,4011,CAD/CAE of Bioelectr.Devices,Fall 2020,5.60,5.30,5.60,5.60,5.70,5.60,5.70,10
BMEN,4011,CAD/CAE of Bioelectr.Devices,Fall 2021,5.00,4.56,5.11,5.22,5.44,5.11,5.11,9
BMEN,4011,CAD/CAE of Bioelectr.Devices,Fall 2022,2.67,2.25,2.58,2.42,3.00,3.25,2.00,12
BMEN,4011,CAD/CAE of Bioelectr.Devices,Fall 2023,4.35,3.12,3.41,4.06,3.35,3.06,3.00,17
BMEN,4011,CAD/CAE of Bioelectr.Devices,Fall 2024,3.09,2.55,3.00,2.91,3.82,3.82,2.73,11
BMEN,4013,CAD of Biomechl/transport Devi,Fall 2020,5.64,5.64,5.55,5.64,5.64,5.27,5.64,11
BMEN,4013,CAD of Biomechl/transport Devi,Fall 2021,5.76,5.65,5.59,5.59,5.53,5.53,5.65,17
BMEN,4013,CAD of Biomechl/transport Devi,Fall 2022,5.69,5.75,5.81,5.63,5.56,5.75,5.81,16
BMEN,4013,CAD of Biomechl/transport Devi,Fall 2023,5.61,5.39,5.43,5.46,5.32,5.50,5.50,28
BMEN,4013,CAD of Biomechl/transport Devi,Fall 2024,5.76,5.64,5.72,5.68,5.16,5.48,5.48,26
BMEN,4015,CAE of Biomech/transport Devic,Fall 2020,5.88,5.88,6.00,6.00,5.75,6.00,6.00,8
BMEN,4015,CAE of Biomech/transport Devic,Fall 2021,5.33,5.17,5.33,5.50,5.17,5.25,5.50,12
BMEN,4015,CAE of Biomech/transport Devic,Fall 2022,5.22,4.67,5.47,5.28,5.11,5.39,5.61,18
BMEN,4015,CAE of Biomech/transport Devic,Fall 2023,5.63,5.42,5.84,5.63,5.68,5.74,5.74,19
BMEN,4015,CAE of Biomech/transport Devic,Fall 2024,5.55,5.45,5.55,5.55,5.82,5.64,5.73,11
BMEN,4151,Phys Inspired Eng Solutions,Spr 2025,3.33,3.75,3.00,4.25,4.75,3.75,4.25,4
BMEN,5001,Adv Biomats,Fall 2020,5.22,4.87,4.77,4.74,4.83,4.87,4.82,23
BMEN,5001,Adv Biomats,Fall 2021,5.14,4.87,4.79,4.80,4.40,4.47,4.53,15
BMEN,5001,Adv Biomats,Fall 2022,5.41,5.05,5.09,5.05,5.32,5.00,5.14,22
BMEN,5001,Adv Biomats,Fall 2023,5.00,4.39,4.56,4.33,4.28,4.89,4.33,18
BMEN,5001,Adv Biomats,Fall 2024,5.04,4.65,4.76,4.42,4.31,4.46,4.04,26
BMEN,5011,Immunoengineering,Fall 2024,5.47,5.61,5.47,5.53,5.74,5.63,5.68,19
BMEN,5031,Eng Extracellular Matrices,Fall 2021,5.90,5.60,5.67,5.80,5.70,5.50,5.60,10
BMEN,5031,Eng Extracellular Matrices,Fall 2024,5.60,5.67,5.33,5.60,5.53,4.93,5.40,15
BMEN,5041,Tissue Engineering,Spr 2021,5.44,4.94,5.07,4.88,4.50,5.00,4.75,16
BMEN,5041,Tissue Engineering,Spr 2022,4.91,4.48,4.62,4.26,4.35,4.43,4.26,23
BMEN,5041,Tissue Engineering,Spr 2023,5.71,5.29,5.29,5.36,5.29,5.64,5.50,14
BMEN,5041,Tissue Engineering,Spr 2024,5.07,4.80,4.87,4.60,4.80,4.53,4.53,15
BMEN,5041,Tissue Engineering,Spr 2025,5.58,5.58,5.52,5.50,5.38,5.04,5.46,24
BMEN,5101,Adv Bioelectric/Instruments,Spr 2021,5.09,4.91,4.36,4.64,4.73,4.36,4.27,11
BMEN,5101,Adv Bioelectric/Instruments,Spr 2022,3.75,3.25,3.75,3.25,2.50,2.50,2.25,4
BMEN,5101,Adv Bioelectric/Instruments,Spr 2023,5.40,5.20,5.40,5.50,5.25,5.75,5.40,5
BMEN,5101,Adv Bioelectric/Instruments,Spr 2024,4.91,4.27,4.45,4.36,4.64,4.64,4.27,11
BMEN,5101,Adv Bioelectric/Instruments,Spr 2025,4.28,4.39,4.06,4.22,4.33,3.78,4.00,18
BMEN,5111,Biomedical Ultrasound,Spr 2021,3.80,2.80,4.20,3.80,2.80,3.60,2.80,5
BMEN,5111,Biomedical Ultrasound,Spr 2022,4.33,3.67,4.67,5.00,3.33,4.33,4.00,3
BMEN,5111,Biomedical Ultrasound,Spr 2024,4.40,3.80,4.00,4.00,4.60,4.80,3.60,5
BMEN,5111,Biomedical Ultrasound,Spr 2025,4.25,3.75,2.88,3.75,4.63,3.88,3.50,8
BMEN,5151,Intro BioMEMS/Med Microdevices,Spr 2021,5.29,4.66,5.12,5.11,5.43,5.11,5.11,35
BMEN,5151,Intro BioMEMS/Med Microdevices,Spr 2022,5.20,4.87,4.87,4.93,5.40,4.53,5.13,15
BMEN,5151,Intro BioMEMS/Med Microdevices,Spr 2023,4.91,4.85,4.59,4.91,5.21,4.88,4.94,34
BMEN,5151,Intro BioMEMS/Med Microdevices,Spr 2024,5.18,4.65,4.88,5.00,5.41,4.94,5.06,17
BMEN,5151,Intro BioMEMS/Med Microdevices,Spr 2025,5.43,5.07,5.20,5.33,5.37,4.90,5.30,31
BMEN,5201,Adv Biomech,Fall 2020,5.50,5.50,5.71,5.64,5.57,5.71,5.64,14
BMEN,5201,Adv Biomech,Fall 2021,5.64,5.30,5.61,5.52,5.39,5.35,5.61,23
BMEN,5201,Adv Biomech,Fall 2022,5.32,4.87,5.43,5.33,5.03,5.27,5.20,32
BMEN,5201,Adv Biomech,Fall 2023,5.14,4.71,4.93,4.86,5.36,5.14,4.93,14
BMEN,5201,Adv Biomech,Spr 2025,4.81,4.23,4.91,4.58,4.51,4.23,4.36,43
BMEN,5311,Adv Biomed Transport Processes,Spr 2021,5.14,4.14,5.14,5.00,4.00,4.86,4.14,7
BMEN,5311,Adv Biomed Transport Processes,Spr 2022,5.11,4.89,4.78,4.67,3.44,4.00,3.89,9
BMEN,5311,Adv Biomed Transport Processes,Spr 2023,5.14,4.50,5.00,4.33,3.17,4.33,4.00,7
BMEN,5311,Adv Biomed Transport Processes,Spr 2024,5.88,5.75,5.75,5.75,5.63,5.38,5.88,8
BMEN,5311,Adv Biomed Transport Processes,Spr 2025,5.00,4.67,5.00,4.33,2.67,3.33,3.33,3
BMEN,5321,Microfluidics in Bio/Med,Fall 2020,5.83,5.33,6.00,5.83,5.83,6.00,6.00,6
BMEN,5321,Microfluidics in Bio/Med,Fall 2021,5.45,5.45,5.55,5.91,5.64,5.55,5.91,11
BMEN,5321,Microfluidics in Bio/Med,Fall 2022,5.86,5.71,5.79,5.93,5.93,5.79,5.93,14
BMEN,5321,Microfluidics in Bio/Med,Fall 2023,5.44,5.56,5.56,5.56,5.67,5.67,5.67,9
BMEN,5351,Cell Eng,Fall 2020,4.95,4.77,5.32,4.41,5.14,4.33,4.68,22
BMEN,5351,Cell Eng,Fall 2021,5.28,5.08,5.31,5.19,4.58,5.12,4.88,26
BMEN,5351,Cell Eng,Fall 2022,4.97,4.57,5.06,4.95,5.00,5.05,4.47,37
BMEN,5351,Cell Eng,Fall 2023,4.71,4.43,5.21,4.71,5.14,5.14,4.64,14
BMEN,5351,Cell Eng,Fall 2024,5.50,5.25,5.37,5.40,5.15,5.05,5.30,20
BMEN,5361,3D Bioprinting,Fall 2020,5.44,5.17,5.50,5.61,5.67,5.22,5.56,18
BMEN,5361,3D Bioprinting,Spr 2022,5.76,5.70,5.55,5.71,5.29,5.24,5.67,21
BMEN,5361,3D Bioprinting,Spr 2023,5.42,5.33,5.42,5.00,5.17,5.25,5.50,12
BMEN,5361,3D Bioprinting,Spr 2025,5.24,5.13,5.29,5.18,4.94,4.59,5.24,17
BMEN,5401,Biomedical Imaging,Fall 2020,5.62,5.38,5.46,5.62,5.69,5.77,5.69,13
BMEN,5401,Biomedical Imaging,Fall 2021,5.33,5.42,5.45,5.55,5.67,5.50,5.42,12
BMEN,5401,Biomedical Imaging,Fall 2022,5.53,5.13,5.27,4.93,5.36,5.21,5.20,15
BMEN,5401,Biomedical Imaging,Fall 2023,6.00,5.67,5.67,5.67,5.33,5.00,5.00,3
BMEN,5401,Biomedical Imaging,Fall 2024,5.13,5.20,5.00,5.27,5.60,5.67,5.40,15
BMEN,5411,Neural Engineering,Fall 2020,5.00,5.00,4.87,5.00,4.93,5.40,4.87,15
BMEN,5411,Neural Engineering,Fall 2021,4.93,5.20,4.67,4.93,4.13,4.53,4.67,15
BMEN,5411,Neural Engineering,Fall 2022,5.20,4.93,4.47,4.73,3.47,4.47,4.27,15
BMEN,5411,Neural Engineering,Fall 2023,5.19,5.16,5.03,4.87,4.65,5.32,4.87,31
BMEN,5411,Neural Engineering,Fall 2024,4.92,4.88,5.15,4.71,4.94,5.25,4.67,53
BMEN,5412,Neuromodulation,Fall 2020,5.75,5.75,5.50,5.75,5.38,5.75,5.50,8
BMEN,5412,Neuromodulation,Fall 2021,5.89,5.67,5.56,5.50,5.11,5.56,5.44,9
BMEN,5412,Neuromodulation,Fall 2022,6.00,5.89,5.78,5.78,5.78,5.56,5.89,9
BMEN,5412,Neuromodulation,Fall 2023,5.55,5.41,5.43,5.50,5.05,5.23,5.41,22
BMEN,5413,Neural Interfacing,Spr 2021,5.22,5.00,5.56,5.22,5.78,5.44,5.44,9
BMEN,5413,Neural Interfacing,Spr 2022,5.33,6.00,5.00,5.33,5.67,5.67,5.67,3
BMEN,5413,Neural Interfacing,Spr 2023,5.50,5.50,5.00,5.50,6.00,6.00,5.50,2
BMEN,5413,Neural Interfacing,Spr 2024,4.82,4.64,4.91,4.82,5.09,5.00,4.55,11
BMEN,5413,Neural Interfacing,Spr 2025,5.26,5.18,5.12,5.08,5.26,5.30,5.26,50
BMEN,5421,Intro Biomedical Optics,Spr 2021,5.50,5.50,5.38,5.50,5.50,4.88,5.38,8
BMEN,5421,Intro Biomedical Optics,Spr 2022,5.46,5.31,5.17,5.25,5.23,5.00,5.00,13
BMEN,5421,Intro Biomedical Optics,Spr 2023,5.67,5.67,5.33,5.33,5.33,5.33,5.67,3
BMEN,5421,Intro Biomedical Optics,Spr 2024,5.00,4.67,5.00,5.00,4.83,4.83,4.17,6
BMEN,5501,Biol for Biomed Eng,Fall 2020,5.17,4.67,5.17,4.80,5.00,5.67,4.83,6
BMEN,5501,Biol for Biomed Eng,Fall 2021,5.25,4.75,5.00,4.75,5.25,4.50,5.25,4
BMEN,5501,Biol for Biomed Eng,Fall 2022,4.83,5.00,4.83,4.83,4.17,5.00,4.33,6
